2 577.088
3 558.411
4 438.044
5 459.888
6 387.911
7 335.427
8 297.522
9 329.584
10 299.463
11 275.02
12 250.86
13 237.5
14 221.037
15 210.887
16 200.864
17 217.845
18 209.926
19 204.786
20 193.024
21 186.521
22 181.042
23 171.864
24 168.902
25 161.162
26 157.391
27 153.518
28 149.222
29 143.757
30 139.922
31 137.996
32 133.853
33 147.735
34 146.625
35 139.966
36 136.785
37 136.432
38 134.173
39 130.438
40 129.485
41 129.806
42 124.47
43 124.013
44 120.905
45 119.845
46 116.76
47 116.574
48 112.345
49 113.584
50 111.42
51 112.423
52 109.344
53 108.09
54 104.027
55 106.174
56 103.708
57 103.265
58 102.016
59 100.455
60 98.9787
61 101.303
62 96.8841
63 96.6641
64 96.3477
65 103.284
66 101.138
67 101.865
68 100.545
69 99.1838
