10000 362
20000 675
30000 796
40000 1696
50000 1913
60000 4754
70000 3062
80000 2503
90000 3110
100000 3207
110000 4161
120000 3607
130000 5117
140000 4232
150000 5943
160000 5317
170000 5364
180000 5507
190000 6146
200000 6772
210000 6935
220000 7413
230000 7913
240000 7846
250000 8646
260000 9369
270000 8606
280000 8855
290000 9734
300000 9089
310000 9311
320000 10409
330000 10085
340000 11098
350000 10771
360000 11386
370000 10808
380000 11310
390000 12226
400000 12759
410000 15717
420000 19390
430000 15146
440000 22602
450000 22914
460000 14344
470000 14822
480000 15066
490000 19546
500000 16172
510000 15769
520000 16629
530000 16821
540000 17253
550000 18396
560000 17655
570000 17941
580000 21361
590000 18334
600000 19367
610000 20751
620000 20486
630000 19911
640000 20801
650000 20356
660000 20908
670000 22519
680000 28442
690000 27011
700000 22292
710000 21806
720000 21800
730000 22313
740000 23124
750000 22919
760000 22641
770000 22376
780000 21711
790000 24246
800000 23226
810000 22833
820000 23792
830000 24871
840000 24276
850000 23870
860000 25759
870000 25525
880000 25825
890000 25019
900000 26172
910000 30826
920000 26868
930000 27236
940000 26792
950000 31529
960000 30080
970000 28728
980000 30489
990000 32597
1000000 29388
