10000 358
20000 611
30000 1002
40000 1574
50000 1912
60000 2555
70000 3747
80000 3741
90000 3637
100000 4597
110000 3983
120000 5040
130000 5091
140000 4790
150000 5205
160000 6157
170000 6229
180000 6426
190000 6764
200000 7600
210000 7521
220000 8280
230000 8616
240000 8841
250000 9606
260000 9243
270000 10325
280000 11290
290000 10889
300000 12025
310000 11187
320000 11891
330000 12663
340000 15037
350000 12627
360000 13197
370000 14315
380000 14256
390000 15102
400000 15388
410000 15553
420000 16157
430000 15709
440000 17076
450000 16755
460000 18339
470000 19846
480000 16793
490000 16897
500000 17333
510000 17702
520000 18152
530000 18381
540000 18756
550000 19732
560000 19881
570000 19550
580000 20531
590000 20618
600000 21466
610000 21961
620000 21406
630000 23117
640000 24919
650000 28688
660000 28794
670000 24671
680000 28531
690000 23024
700000 23730
710000 24300
720000 24854
730000 24371
740000 25195
750000 25654
760000 30586
770000 26270
780000 28857
790000 28428
800000 31657
810000 28688
820000 28208
830000 34749
840000 29746
850000 28918
860000 32385
870000 29882
880000 29657
890000 29971
900000 30733
910000 31152
920000 30990
930000 32241
940000 32646
950000 32873
960000 33383
970000 32441
980000 32973
990000 33403
1000000 34618
